City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,tiksi,71.6872,128.8694,29.23,84,100,8.63,RU,2023-10-04 03:48:07
68,rio verde de mato grosso,-18.9181,-54.8442,86.7,42,26,8.7,BR,2023-10-04 03:48:07
69,bilibino,68.0546,166.4372,17.96,92,16,3.71,RU,2023-10-04 03:48:07
70,east london,-33.0153,27.9116,63.54,88,100,3.44,ZA,2023-10-04 03:48:07
71,parola,20.8833,75.1167,82.35,59,42,8.23,IN,2023-10-04 03:48:07
72,selfoss,63.9331,-20.9971,43.05,96,100,7.63,IS,2023-10-04 03:48:08
73,hamilton,39.1834,-84.5333,72.77,80,0,0.0,US,2023-10-04 03:46:24
74,tamandare,-8.7597,-35.1047,78.03,66,82,8.37,BR,2023-10-04 03:48:08
75,bhimunipatnam,17.8833,83.4333,87.31,69,100,1.72,IN,2023-10-04 03:48:08
76,bardai,11.65,7.2333,72.3,70,99,4.23,NG,2023-10-04 03:48:08
77,christchurch,-43.5333,172.6333,67.48,47,79,8.05,NZ,2023-10-04 03:45:50
78,fort st. john,56.2499,-120.8529,48.09,66,40,21.85,CA,2023-10-04 03:48:08
79,anori,-3.7728,-61.6442,82.27,51,86,2.37,BR,2023-10-04 03:48:08
80,weligama,5.9667,80.4167,80.35,81,49,5.21,LK,2023-10-04 03:48:08
81,shortandy,51.7006,70.9994,50.5,46,14,4.79,KZ,2023-10-04 03:48:08
82,kidal,18.4411,1.4078,87.31,26,69,7.9,ML,2023-10-04 03:48:08
83,sandnessjoen,66.0217,12.6316,46.51,93,75,5.75,NO,2023-10-04 03:48:09
84,haiku-pauwela,20.9219,-156.3051,80.62,68,20,5.99,US,2023-10-04 03:48:09
85,aasiaat,68.7098,-52.8699,17.58,69,31,6.4,GL,2023-10-04 03:48:09
86,copala,16.65,-98.9833,78.62,92,100,5.75,MX,2023-10-04 03:48:09
87,keelung,25.1283,121.7419,80.49,94,100,24.63,TW,2023-10-04 03:48:09
88,westport,41.1415,-73.3579,67.77,87,0,5.75,US,2023-10-04 03:48:09
89,vila do maio,15.1333,-23.2167,79.59,76,100,0.92,CV,2023-10-04 03:48:09
90,nar'yan-mar,67.6713,53.087,39.11,78,100,21.0,RU,2023-10-04 03:48:09
91,ust-nera,64.5667,143.2,35.22,61,99,1.99,RU,2023-10-04 03:48:09
92,revelstoke,50.9832,-118.2023,55.42,88,100,2.3,CA,2023-10-04 03:48:09
93,hermanus,-34.4187,19.2345,58.59,91,100,11.88,ZA,2023-10-04 03:48:09
94,bonthe,7.5264,-12.505,78.01,85,98,5.68,SL,2023-10-04 03:48:09
95,pekan,3.4836,103.3996,86.11,69,100,5.46,MY,2023-10-04 03:48:10
96,invercargill,-46.4,168.35,68.02,62,93,11.01,NZ,2023-10-04 03:44:06
97,college,64.8569,-147.8028,33.75,87,100,11.5,US,2023-10-04 03:48:10
98,oriximina,-1.7656,-55.8661,82.94,55,79,4.03,BR,2023-10-04 03:48:10
99,yichun,47.7,128.9,44.33,94,100,13.73,CN,2023-10-04 03:48:10
100,weno,7.4515,151.8468,89.55,74,40,3.44,FM,2023-10-04 03:48:10
101,anadyr,64.75,177.4833,37.9,47,40,8.01,RU,2023-10-04 03:48:10
102,khanty-mansiysk,61.0042,69.0019,50.11,100,75,11.18,RU,2023-10-04 03:48:10
103,carnarvon,-24.8667,113.6333,79.65,36,0,12.33,AU,2023-10-04 03:48:10
104,igarka,67.4667,86.5833,34.14,83,25,13.69,RU,2023-10-04 03:48:10
105,sanctuary point,-35.1114,150.629,70.99,56,100,17.54,AU,2023-10-04 03:48:10
106,caconda,-13.7333,15.0667,62.85,63,34,1.61,AO,2023-10-04 03:48:11
107,holualoa,19.6228,-155.9522,80.44,74,40,13.8,US,2023-10-04 03:48:11
108,cabo san lucas,22.8909,-109.9124,87.1,78,20,10.36,MX,2023-10-04 03:48:11
109,rabo de peixe,37.8,-25.5833,73.98,99,75,12.66,PT,2023-10-04 03:48:11
